country,pop_mills
China,1427.964912
Afghanistan,36.66666667
Albania,2.897058824
Algeria,45.4
Andorra,0.077270447
Angola,25
Anguilla,0.015037594
Antigua and Barbuda,0.098591549
Argentina,46
Armenia,2.97080292
Aruba,0.106728538
Australia,25.41958042
Austria,9.009803922
Azerbaijan,10.11111111
Bahamas,0.4
Bahrain,1.7
Bangladesh,160
Barbados,0.288888889
Belarus,9.4
Belgium,11.59137056
Belize,0.4
Benin,12
Bermuda,0.062271062
Bhutan,0.75
Bolivia,12.33333333
Bosnia and Herzegovina,3.270588235
Brazil,216.8888889
British Virgin Islands,0.03030303
Brunei ,0.437956204
Bulgaria,6.895833333
Burkina Faso,20.7
Cabo Verde,0.555555556
Cambodia,16.5
Cameroon,30.33333333
Canada,37.7
CAR,5
Cayman Islands,0.06557377
Chad,15
Channel Islands,0.173835125
Chile,19.09
Colombia,50.66666667
Congo,5.714285714
Costa Rica,5.086206897
Croatia,4.10625
Cuba,10.81818182
Cura̤ao,0.163265306
Cyprus,1.209459459
Czechia,10.69512195
Denmark,5.792105263
Diamond Princess,1
Djibouti,1
Dominica,0.071895425
Dominican Republic,10.89393939
DRC,92.85714286
Ecuador,17.69902913
Egypt,96
El Salvador,6.333333333
Equatorial Guinea,1.333333333
Eritrea,3
Estonia,1.327160494
Eswatini,1.125
Ethiopia,160
Faeroe Islands,0.048865069
Fiji,0.833333333
Finland,5.530805687
France,65.234375
French Guiana,0.29787234
French Polynesia,0.280373832
Gabon,2.333333333
Gambia,3
Georgia,3.913043478
Germany,83.73730044
Ghana,28.2
Gibraltar,0.033694344
Greece,10.40196078
Greenland,0.056818182
Grenada,0.112903226
Guadeloupe,0.4
Guatemala,17
Guinea,13.33333333
Guinea-Bissau,2
Guyana,0.8
Haiti,11.42857143
Honduras,9.5
Hong Kong,7.466666667
Hungary,9.527777778
Iceland,0.341247342
India,1410
Indonesia,288.75
Iran,83.90521327
Iraq,38.92307692
Ireland,4.938650307
Isle of Man,0.085106383
Israel,8.657894737
Italy,60.47874428
Ivory Coast,25.25
Jamaica,3
Japan,130.2307692
Jordan,10.25
Kazakhstan,19
Kenya,54.28571429
Kuwait,4.272727273
Kyrgyzstan,6.444444444
Laos,8
Latvia,1.882716049
Lebanon,6.866666667
Liberia,5
Libya,7.5
Liechtenstein,0.038121171
Lithuania,2.717241379
Luxembourg,0.625982906
Macao,0.653846154
Madagascar,28.88888889
Malaysia,32.22222222
Maldives,0.533333333
Mali,20
Malta,0.442136499
Martinique,0.375
Mauritania,5
Mauritius,1.275
Mayotte,0.272727273
Mexico,119.5
Moldova,4.052631579
Monaco,0.039252336
Mongolia,3
Montenegro,0.626865672
Montserrat,0.00499002
Morocco,36.54545455
Mozambique,26.66666667
MS Zaandam,1
Myanmar,80
Namibia,2.666666667
Nepal,25
Netherlands,17.12631579
New Caledonia,0.283018868
New Zealand,4.79787234
Nicaragua,6.666666667
Niger,25
Nigeria,194
North Macedonia,2.077586207
Norway,5.418353576
Oman,5.066666667
Pakistan,213.5714286
Palestine,5.157894737
Panama,4.318681319
Papua New Guinea,10
Paraguay,7
Peru,33.55
Philippines,107.5
Poland,38.09302326
Portugal,10.19723866
Qatar,2.87804878
R̩union,0.897058824
Romania,19.36
Russia,140.4444444
Rwanda,12
S. Korea,51.23243243
Saint Kitts and Nevis,0.052631579
Saint Lucia,0.1875
Saint Martin,0.038732394
San Marino,0.033929112
Saudi Arabia,34.37142857
Senegal,16.25
Serbia,8.786666667
Seychelles,0.098765432
Singapore,5.854014599
Sint Maarten,0.042857143
Slovakia,5.509433962
Slovenia,2.079027356
Somalia,15
South Africa,59.35
Spain,46.76564496
Sri Lanka,22.6
St. Barth,0.009881423
St. Vincent Grenadines,0.111111111
Sudan,50
Suriname,0.571428571
Sweden,10.1085044
Switzerland,8.656826568
Syria,16.66666667
Taiwan,23.58333333
Tanzania,70
Thailand,69.16666667
Timor-Leste,1.25
Togo,8.333333333
Trinidad and Tobago,1.407407407
Tunisia,11.58333333
Turkey,84.11363636
Turks and Caicos,0.038834951
UAE,9.957446809
Uganda,42.85714286
UK,67.81349206
Ukraine,44.5
Uruguay,3.46835443
USA,330.5924933
Uzbekistan,34.66666667
Vatican City,0.000800961
Venezuela,29.75
Vietnam,87
Zambia,14
Zimbabwe,14
